Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-04,GRID_45.458333155|-73.875002685,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2012-01-04,GRID_45.541666485|-73.541669365,15,30,0,3,3,23,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,9,4,0,2,0
2012-01-04,GRID_45.541666485|-73.625002695,11,24,0,0,0,16,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,7,4,0,0,0
2012-01-04,GRID_45.541666485|-73.70833602500002,7,13,0,2,2,9,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,1,0
2012-01-04,GRID_45.624999815|-73.541669365,4,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2012-01-04,GRID_45.624999815|-73.625002695,9,17,0,2,2,10,1,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,4,3,0,2,0
2012-01-05,GRID_45.458333155|-73.625002695,11,24,0,0,0,16,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,8,3,0,0,0
2012-01-05,GRID_45.458333155|-73.70833602500002,4,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2012-01-05,GRID_45.458333155|-73.791669355,3,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-05,GRID_45.458333155|-73.875002685,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2012-01-05,GRID_45.541666485|-73.541669365,16,26,1,1,2,20,0,0,0,0,0,0,2,0,0,0,4,0,2,2,0,0,0,0,0,0,8,6,1,1,0
2012-01-05,GRID_45.541666485|-73.625002695,27,53,0,7,7,43,0,0,0,0,0,0,1,0,0,0,9,0,2,2,0,0,0,0,0,0,14,6,0,7,0
2012-01-05,GRID_45.541666485|-73.70833602500002,8,16,0,1,1,12,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,4,3,0,1,0
2012-01-05,GRID_45.541666485|-73.791669355,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-05,GRID_45.624999815|-73.541669365,15,29,0,5,5,21,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,8,4,0,3,0
2012-01-05,GRID_45.624999815|-73.625002695,3,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2012-01-06,GRID_45.458333155|-73.625002695,15,29,0,3,3,24,0,1,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,5,7,0,3,0
2012-01-06,GRID_45.458333155|-73.70833602500002,2,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012-01-06,GRID_45.458333155|-73.791669355,6,9,0,3,3,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,2,0
2012-01-06,GRID_45.541666485|-73.541669365,14,25,0,4,4,18,1,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,6,4,0,4,0
2012-01-06,GRID_45.541666485|-73.625002695,17,33,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,9,0,0,0
2012-01-06,GRID_45.541666485|-73.70833602500002,4,8,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2012-01-06,GRID_45.624999815|-73.541669365,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2012-01-06,GRID_45.624999815|-73.625002695,3,8,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2012-01-07,GRID_45.458333155|-73.625002695,18,35,0,0,0,23,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,18,0,0,0,0
2012-01-07,GRID_45.458333155|-73.70833602500002,2,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012-01-07,GRID_45.458333155|-73.791669355,5,10,0,1,1,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0
2012-01-07,GRID_45.458333155|-73.875002685,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-07,GRID_45.541666485|-73.541669365,13,25,0,5,5,20,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,6,0,4,0
2012-01-07,GRID_45.541666485|-73.625002695,18,34,1,8,9,30,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,3,8,1,6,0
2012-01-07,GRID_45.541666485|-73.70833602500002,2,5,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2012-01-07,GRID_45.541666485|-73.791669355,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-07,GRID_45.624999815|-73.541669365,8,16,0,2,2,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2,0,1,0
2012-01-07,GRID_45.624999815|-73.625002695,5,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0
2012-01-08,GRID_45.458333155|-73.625002695,13,25,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,4,0,0,0
2012-01-08,GRID_45.458333155|-73.70833602500002,3,6,0,3,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2012-01-08,GRID_45.458333155|-73.791669355,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-08,GRID_45.458333155|-73.875002685,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2012-01-08,GRID_45.541666485|-73.541669365,24,47,0,2,2,33,1,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,9,13,0,2,0
2012-01-08,GRID_45.541666485|-73.625002695,14,27,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,9,0,0,0
